LON,LAT,EDO,CLAVE,ESTACION,feb-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",31
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",52
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",29.8
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",30.66
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",43
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",29.4
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",40
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",38.8
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",26
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",24.9
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",40.91
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",34.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",27.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",31.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",38
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",17.6
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",27.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",26
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",25
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",34
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",37
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",29
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",27.52
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",39
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",30.4
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",51.8
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",24.51
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",18.7
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",18.7
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",31.61
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",7.81
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",21.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",23
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",32.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",43.6
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",19.81
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",3.3
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",41
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",3.5
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",39
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",1.06
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",10.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",26.71
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.02
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",2
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",14.61
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",37.71
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",21
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",21
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",6
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",31.4
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",13.1
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",45.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",0
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",0.01
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",11.01
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",3.01
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",2
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",4.41
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",0.11
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",4.01
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",0
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",0
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",40
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",1.21
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",17.8
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",2
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",11
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",8
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",95.7
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",91
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",84.51
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",21
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",31.03
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",54.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",18
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",1
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",7.3
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",1.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.02
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",13.2
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0.2
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",28
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",34.02
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",14.52
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",67.51
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0.04
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",47.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",33.9
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",61.32
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",69
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",9.6
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.01
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",2
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",3.07
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",37.34
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",8.4
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",4.5
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",3.51
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0.02
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",11.75
