LON,LAT,EDO,CLAVE,ESTACION,jul-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",184.7
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",188.7
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",121.8
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",147.03
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",256
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",173
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",131
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",157.4
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",197.8
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",171
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",144.51
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",159.2
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",175.8
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",121.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",158.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",165.7
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",160.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",167.1
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",165.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",135
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",105
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",187.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",1.4
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.01
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.21
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",2.9
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",2.5
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.02
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",70.4
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",6
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",80.4
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",8.51
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.01
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",147.4
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",191.3
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",115.5
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",145.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",271.5
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",128.31
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",144.61
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",166.7
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",288
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",190.4
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",124.6
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",93.7
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",106
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",131.51
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",271.51
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",103.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",102
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",234.7
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",99.2
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",165
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",128.06
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",123.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",200
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",164
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",72.92
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",112.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",31.03
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",78.12
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",27.4
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",160.05
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",36.51
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",61.01
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",100.51
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",46.75
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",124.92
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",44.17
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",142.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",158.33
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",154.62
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",199.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",59.4
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",61.52
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",86.5
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",7.55
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0.5
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",61.4
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",11.5
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",7
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",65.05
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",46
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",118.94
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",43.87
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",201.01
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",189.5
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",91.92
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",134
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",216.52
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",82.12
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",68.54
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",66.5
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",165.5
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",315.4
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",115
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",112.3
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",784.7
