LON,LAT,EDO,CLAVE,ESTACION,ene-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",31.1
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",60.5
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",38
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",39.35
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",52
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",29.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",46.2
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",17.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",39.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",46
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",53.71
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",29.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",30
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",31.5
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",42
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",44
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",37.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",86
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",31.8
-102.294444,22.054167,AGS,SANTALUCIA,"Santa Lucía, Ags. INIFAP*",39.2
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",21
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",20
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",86.7
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",7.9
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",6.2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",4.7
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",8.4
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",8.7
