LON,LAT,EDO,CLAVE,ESTACION,sep-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",104.1
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",113.9
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",81.3
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",91.25
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",118.9
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",66.6
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",70.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",37.4
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",67.8
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",87.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",117.22
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",74.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",52
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",68.76
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",53
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",108.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",82.8
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",37.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",91.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",14
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",46
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",66.9
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
