LON,LAT,EDO,CLAVE,ESTACION,oct-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",9.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0.51
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",9.9
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",1.3
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",7
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",3.3
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",30.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0.3
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.1
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",15
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",3
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0.7
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",1.1
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0.2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1.5
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",2
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",1.5
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",6.2
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.1
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.6
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",4.1
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",24
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.51
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",4.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",3.8
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.1
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",66.02
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",5.91
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",9.72
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",3
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",4
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",18
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",12.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",6.32
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",29
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",157.3
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",311
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",557.71
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",255.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",176.5
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",284.21
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",252.51
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",228.22
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",453
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",145.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",485.7
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",920.7
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",393.91
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",202.51
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",176.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",0
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",20
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",92.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.31
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",0
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",7.86
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",3
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",1.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",82.8
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",49.13
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",65.3
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",41.6
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",439.3
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",40.1
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",85.4
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",356
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",285.5
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",58.6
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",95.2
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",81.5
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",74.4
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",89.9
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",52.99
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",147.8
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",554.7
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",103.8
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",304.7
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",321.2
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",30.8
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",1011
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",387.3
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",708.3
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",425.2
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",71.3
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",483
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",486.9
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",122.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",126.3
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",793.4
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",780.8
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",101.1
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",231.7
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",18.7
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",243.4
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",375.7
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",406.1
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",389.6
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",54.7
