LON,LAT,EDO,CLAVE,ESTACION,abr-20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",2.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",6.5
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",7.9
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",1
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",0
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",16.6
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",2.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",7.5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0.01
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",0.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",24
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.5
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",19
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",7.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",6.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",12
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0.3
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",9
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",11
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",18
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",11.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",76.03
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",27.4
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",62.2
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",73.8
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",58.6
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",47.91
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",47.91
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",44.5
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",15.61
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",60.6
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",8.5
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",90.2
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",104.8
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",57
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",84.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.32
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.02
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.04
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0.02
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
