LON,LAT,EDO,CLAVE,ESTACION,sep-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",82.2
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",88
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",57
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",87.6
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",37.14
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",37.4
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",99.6
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",52.9
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",56.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",74.2
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",61.71
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",41.6
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",49.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",63.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",46
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",63.7
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",52.8
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",56
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",53.7
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",85
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",41.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",17.8
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",66.16
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",18.61
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",12.51
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",6.5
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",63.7
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",70
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",35.42
