LON,LAT,EDO,CLAVE,ESTACION,ago-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",135.5
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",188.3
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",89.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",132.9
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",76.86
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",164.8
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",125.3
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",128.5
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",101.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",84.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",92.92
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",124.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",120.2
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",145.9
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",130
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",113.3
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",87.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",158.8
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",140
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",87
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",96.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",20.7
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0.5
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.01
