LON,LAT,EDO,CLAVE,ESTACION,may-23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",1.9
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",27
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",10.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",7.02
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",24.2
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",5.7
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",5.9
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",3.4
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",12.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",7.2
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",9.2
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",2.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",7.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",6.5
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",8.6
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",14
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",6.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",16.3
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",7
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",4
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",19.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",2.3
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",1
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",2.7
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",3.2
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",1.6
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",5
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",3.4
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",3
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0.25
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",1.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.01
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",5.95
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.02
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",1.2
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",13.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",6
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",62.2
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",23.01
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",68.5
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",134.41
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",226.71
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",53.1
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",19
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",88
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",4.3
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",94.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",17
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",11.5
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",73.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",20
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",40.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",2.2
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",8
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",111.5
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",9.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",26.52
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",30.56
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",12.8
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",23.4
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",33.91
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",0
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",1.75
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0.01
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",26.51
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",6.25
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",4.01
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",27.8
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",23
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",8.6
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",38.51
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",14.5
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",6.5
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",1.02
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",44
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",40.5
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",68.51
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",40
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",24
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",61.71
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",53.51
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",2.6
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",21
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",3.07
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",48.1
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",85.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",54.6
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",67.3
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",15.3
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",132.1
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",56.8
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",46
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",252.9
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",24.8
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",36.8
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",101.2
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",87.8
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",13.1
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",123.6
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",35.5
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",104.1
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",44.38
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",96.8
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",22.7
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",271.9
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",40.5
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",120.22
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",72.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",54.3
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",116.4
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",89.9
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",249
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",45.1
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",404.8
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",343.9
-92.358056,15.180833,CHIS,FSCCP,"Finca San Cristóbal, Chis.",416
