LON,LAT,EDO,CLAVE,ESTACION,nov-23
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",14.22
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",3.8
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",8.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",11.51
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",2.29
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",22.29
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",12.4
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",16.5
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",14.52
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",11.21
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",15.52
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",10
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",3.32
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",25
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",19.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",8.02
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",11.92
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",6.35
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",14.4
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",13
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",6.21
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",19.02
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",0.25
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",30
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",11.22
