LON,LAT,EDO,CLAVE,ESTACION,dic-23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",48.82
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",39
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",27.1
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",83.6
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",42.52
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",36.4
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",49.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",56.46
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",53.33
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",24.72
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",31.8
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",46.33
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",55.92
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",50
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",56.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",55
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",34.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",34.83
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",34.12
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",34.11
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",51
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",59.1
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",41.31
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",19.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",22.2
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",27.5
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",14
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",20.8
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",18.5
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",14.4
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",1.02
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",4.2
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",10
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",26.2
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",3.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",14.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",26.2
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",7
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",40.5
