LON,LAT,EDO,CLAVE,ESTACION,ago-23
-99.059722,19.383611,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de Méx. UNAM*",83.05
-99.140278,19.484167,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de Méx. UNAM*",112.88
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",110.63
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",48.53
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",16.5
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",212.61
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",94.49
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SEGIAGUA",124.88
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",131.34
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",154.26
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",109.6
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",115.07
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de Méx. UNAM*",142.53
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",130.81
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",100.439
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",42.5
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",18
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",77.63
-99.162778,19.378333,DF,DELVALLE,"Del Valle, Cd. de Méx. SEGIAGUA",6.1
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",208.98
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",118.55
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",90.15
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",159.19
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",177.9
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",136.84
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",82.17
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",3.05
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",82.83
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de Méx. UNAM*",123.469
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de Méx. UNAM*",70.3
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",73.32
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",158.82
-99.045,19.3025,DF,NOPALERA,"Nopalera, Cd. de Méx. UNAM*",88.34
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",58.47
-99.2275,19.294167,DF,PADIERNA,"Padierna, Cd. de Méx. UNAM*",145.56
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",86.54
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",130.21
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",116.51
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",0
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",79.73
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",74.81
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",156.33
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",61.95
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",133.04
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",138.17
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",102.01
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",70.05
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",141.87
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",84.17
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",76.77
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",111.13
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",11.1
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",193.89
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",89.12
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",143.45
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",44.93
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",97.05
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",29.37
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",0
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",71.61
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",79.15
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",188.4
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SEGIAGUA",38.85
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",11.67
-99.186389,19.455556,DF,TACUBA,"Tacuba, Cd. de Méx. UNAM*",88.732
-99.141389,19.344444,DF,TAXQUENA,"Taxqueña, Cd. de Méx. UNAM*",132.449
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",133.37
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",232.03
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",208.2
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",84.57
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",103.27
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",123.33
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",177.38
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",164.51
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",193.49
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",64.35
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",224.67
-99.181111,19.3475,DF,UNIVERSIDADDF,"Universidad, Cd. de Méx. SEGIAGUA",106.31
-99.106667,19.250278,DF,XOCHIMILCO,"Xochimilco, Cd. de Méx. UNAM*",99.05
-104.066111,25.263333,DGO,AM2DR,"Agustín Melgar, Dgo. SMN*",5.2
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",16.25
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",5.82
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",19.03
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",21.53
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",0.02
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",8.04
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",59.51
-104.9225,24.803889,DGO,GUADR,"Guatimapé, Dgo.",30.3
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",33.54
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",1
-104.75,23.516667,DGO,LBYDR,"Las Bayas, Dgo.",78.2
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",17.92
-106.7,25.35,DGO,LHRDR,"La Huerta, Dgo.",92
-105.466111,24.185833,DGO,LVEDR,"Las Vegas, Dgo. SMN*",3.25
-103.7475,26.686389,DGO,MAPIMI,"Mapimí, Dgo. SMN*",5
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",7.01
-105.0475,23.899167,DGO,NAVDR,"Navíos Viejos, Dgo.",96.7
-104.6,24.1,DGO,OBSDR,"Observatorio de Durango, Dgo.",44.4
-104.656667,24.203889,DGO,PAGDR,"Peña del Aguila, Dgo.",64.59
-104.558333,25.181944,DGO,RDODR,"Rodeo, Dgo.",29
-105.443056,25.225,DGO,SACDR,"Salomé Acosta, Dgo.",40.075
-104.675833,23.874444,DGO,SBYDR,"Santiago Bayacora, Dgo.",49.04
-104.054444,23.623056,DGO,SELDR,"Santa Elena, Dgo.",90
-105.560833,26.436667,DGO,SGBDR,"San Gabriel, Dgo.",32.5
-102.778056,24.630556,DGO,SJGDR,"San Juan de Guadalupe, Dgo.",21
-104.276944,25.085,DGO,SLCDR,"San Luis del Cordero, Dgo.",16.05
-104.2925,25.564167,DGO,SPGDR,"San Pedro del Gallo, Dgo.",21.15
-105.422222,25.0375,DGO,SPPDR,"Santiago Papasquiaro, Dgo.",23.94
-105.566667,26.084444,DGO,SRDDR,"Sardinas, Dgo.",33.8
-106.538056,24.702222,DGO,TDRDR,"El Tule del Real, Dgo.",100.01
-102.785,24.563056,DGO,TGRDR,"El Tigre, Dgo.",4
-105.725,25.341111,DGO,TLHDR,"Observatorio de Tepehuanes, Dgo.",51.61
-106.975,24.933333,DGO,TMZDR,"Tamazula, Dgo.",145.95
-103.979722,23.737778,DGO,VGCDR,"Vicente Guerrero, Dgo.",75.5
-104.928889,26.2425,DGO,VHGDR,"Villa Hidalgo, Dgo.",4.51
-105.506111,26.447778,DGO,VOCDR,"Villa Ocampo, Dgo.",32.5
-99.906667,16.849722,GRO,ACAGR,"Acapulco, Gro.",295.8
-99.516944,17.576389,GRO,AERGR,"Observatorio de Chilpancingo Aeropuerto, Gro.",149.9
-100.5175,18.075833,GRO,AFIGR,"Andrés Figueroa, Gro.",153.2
-98.975278,17.719722,GRO,AHUGR,"Ahuacuotzingo, Gro.",141.8
-100.433333,17.210278,GRO,ATYGR,"Atoyac, Gro.",335.5
-99.1,16.949444,GRO,AYUGR,"Ayutla, Gro.",261.8
