LON,LAT,EDO,CLAVE,ESTACION,sep-23
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",42.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",7.53
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",4.9
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",9.4
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",7.81
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",23.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",0.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",2.6
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",43.81
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",11.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",14
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",9.5
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",23
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",1.8
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",1.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",12
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",8
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",12
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",1.8
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",15.8
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",22.41
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",19
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.31
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.01
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",35.3
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",14
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",25
