LON,LAT,EDO,CLAVE,ESTACION,dic-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",18.4
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",18.3
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",27.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",5.78
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",22.6
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",7.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",20.9
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",27
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",15.1
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",13.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",24.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",18.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",21
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",12.8
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",15.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",16
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",22.9
-102.294444,22.054167,AGS,SANTALUCIA,"Santa Lucía, Ags. INIFAP*",18.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",15
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",16
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",20.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",139.3
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",6.8
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",20.71
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",117.7
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",175.1
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",139.4
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",94.1
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",9.1
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",94.1
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",85.91
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",31.49
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",13.62
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",86.4
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",6.42
