LON,LAT,EDO,CLAVE,ESTACION,ene-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",6.6
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",11.5
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",10.6
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",10.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",18.17
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",16.7
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",17.3
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",21
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",13.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",7.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",6.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",24.3
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",5.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",15.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",8.7
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",10.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",11
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",6.8
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",6
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",11.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",17.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",6
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",11
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",22.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",18.82
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",48.2
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",2
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",11.31
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",58.7
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",33.7
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",32.61
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",48.42
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",15.7
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",48.42
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",56.5
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",4.58
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",10.21
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",35.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",11.01
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",73.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",85.3
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",2.5
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",40.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",4.1
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",40
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",6.4
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",8.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",13.81
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",13.5
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",16.5
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",16.52
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",3.5
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",21.62
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",20.8
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",11
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",10.9
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",22.4
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",8.2
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",10.6
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",26.5
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",54
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",29.92
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",7.41
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",38.01
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",24.5
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",10.45
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",22.4
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",34.37
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",21
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",52.8
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",6.1
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",33
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",8
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",12.03
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",21
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",20
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",13
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",75.9
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",15.61
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",54.5
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",10
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",20.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",17.2
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",6.7
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",5.3
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",11.51
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",20.32
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",6.2
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",27.53
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",4.02
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",8.01
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",44.01
