LON,LAT,EDO,CLAVE,ESTACION,may-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",2
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",4
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",4.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",5.32
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",8.3
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",3.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",12
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",6
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",0
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.9
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",4.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",11
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",2.3
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",19.92
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",1.8
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",29.93
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",14.6
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",20.53
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",15.22
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",15.22
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",27.9
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.02
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",17
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",13.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",19.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",160
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",46.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",133
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",105.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",122.3
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",46
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",89.51
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",108.3
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",94.31
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",82.21
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",147.1
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",67.7
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",35.1
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",54.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",56.71
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",60.1
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",3
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",9
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",6.4
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",29
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",3
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",4.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",1.01
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",7
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0.25
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",3.4
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",12
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",1
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",1.81
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0.26
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0.6
-104.43,29.583333,CHIH,OjinagaC,"Ojinaga Río Conchos, Chih. CILA*",2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",8.71
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0.02
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",0
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",0
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",4.5
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",0.2
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",0.41
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",2
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",8.71
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",111.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",235.81
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",278.61
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",3.6
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",174.1
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",130
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",704.71
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",130.93
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",72.2
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",60.6
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",40.6
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",280.3
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",131
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",182.3
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",106.8
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",210.4
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",203.03
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",142.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",439.82
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",124.4
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",271.6
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",238.04
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",343
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",202
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",125.4
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",543
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",481.7
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",225.6
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",309.53
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",388.91
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",439.6
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",150.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",173.9
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",89.22
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",135.94
