LON,LAT,EDO,CLAVE,ESTACION,jun-19
-97.388889,19.413889,VER,ZALVC,"Zalayeta, Ver.",68
-89.681111,20.649444,YUC,ABAYC,"Abalá, Yuc.",272
-89.218889,19.883056,YUC,BECYC,"Becanchén, Yuc.",48.01
-89.081667,20.463056,YUC,CANYC,"Cantamayec, Yuc.",54
-90.3825,20.858056,YUC,CELYC,"Celestún, Yuc. SMN*",15.12
-89.829444,20.752778,YUC,CHOYC,"Chocholá, Yuc.",404.7
-89.637778,21.030278,YUC,CICYC,"Centro de Investigación Científica, Yuc.",163.81
-89.501111,21.078889,YUC,CONYC,"Conkal, Yuc.",229
-87.676667,21.5125,YUC,CYOYC,"El Cuyo, Yuc.",23.21
-89.583611,20.983889,YUC,EZAYC,"Emiliano Zapata, Yuc.",258
-89.642778,21.048889,YUC,FIYYC,"Facultad de Ingeniería Universidad Autónoma de Yucatán, Yuc.",178.71
-89.658056,20.984167,YUC,GARYC,"Organismo de Cuenca Península de Yucatán, Yuc.",225.83
-89.651111,20.946389,YUC,MEOYC,"Observatorio de Mérida, Yuc.",284.01
-89.4375,21.105556,YUC,MOCYC,"Mocochá, Yuc.",291.7
-89.711667,20.493333,YUC,MUNYC,"Muna, Yuc.",199
-89.394722,20.291111,YUC,OXKYC,"Oxkutzcab, Yuc.",241.5
-88.930833,20.1325,YUC,PETYC,"Peto, Yuc.",117.04
-89.653889,21.275833,YUC,PROYC,"Observatorio de Progreso, Yuc.",132.5
-88.160278,21.571111,YUC,RILYC,"Río Lagartos, Yuc. SMN*",50.6
-89.558056,20.397778,YUC,TICYC,"Ticul, Yuc.",211.71
-88.1725,21.158611,YUC,TIZYC,"Tizimín, Yuc.",186.11
-88.216667,20.683333,YUC,VALLADOLIDob,"Observatorio de Valladolid, Yuc. SMN*",31
-88.204167,20.69,YUC,VALYC,"Observatorio de Valladolid, Yuc.",46.8
-103.459167,21.811389,ZAC,ATGZC,"Atolinga, Zac.",58.5
-102.951667,22.823611,ZAC,BTEZC,"Ramón López Velarde, Zac.",27.1
-102.889167,22,ZAC,CHIZC,"El Chique, Zac.",65.5
-103.093611,23.693056,ZAC,ELCZC,"El Cazadero, Zac.",24.81
-102.040833,22.673056,ZAC,ELSZC,"El Saladillo, Zac.",57.53
-103.339722,21.649444,ZAC,EXCZC,"Miguel Alemán, Zac.",33.34
-102.890833,23.173889,ZAC,FREZC,"Fresnillo, Zac.",19.9
-103.093333,21.933333,ZAC,GJAZC,"General Joaquín Amaro, Zac.",122.01
-102.506667,22.746944,ZAC,GPEZC,"Guadalupe, Zac.",80.2
-102.46,22.4875,ZAC,GRCZC,"Genaro Codina, Zac.",52.5
-103.113889,21.404167,ZAC,JCHZC,"Juchipila, Zac.",16.5
-103.001944,22.642778,ZAC,JERZC,"Jerez, Zac.",38.11
-102.566944,22.778889,ZAC,LBUZC,"Observatorio de Zacatecas, Zac.",43.1
-103.603056,22.687222,ZAC,LFLZC,"La Florida, Zac.",20
-102.660556,22.996944,ZAC,LLBZC,"Llano Blanco, Zac.",51.33
-102.251667,22.438889,ZAC,LMOZC,"Luis Moya, Zac.",42.6
-103.383333,22.836667,ZAC,LOBZC,"Manuel Felgueres, Zac.",27.5
-101.985556,22.264722,ZAC,LORZC,"Loreto, Zac.",48.7
-103.216944,23.18,ZAC,LREZC,"Gobernador Leobardo Reynoso, Zac.",23.6
-103.362222,21.212778,ZAC,MORZC,"Mezquital del Oro, Zac.",77.5
-103.561667,22.306944,ZAC,MRSZC,"Monte Escobedo, Zac.",52.2
-102.845556,21.3575,ZAC,NCTZC,"Nochistlán, Zac.",40.02
-102.796667,22.347222,ZAC,PALZC,"Palomas, Zac.",78.6
-101.399167,22.117778,ZAC,PINZC,"Pino Suárez, Zac.",63.7
-102.903611,21.711111,ZAC,PMOZC,"Los Moraleños, Zac.",83.01
-103.025833,23.816944,ZAC,RGRZC,"Río Grande, Zac.",25.73
-102.8825,24.326111,ZAC,SFOZC,"San Francisco, Zac.",51.13
-103.506667,24.288611,ZAC,SGOZC,"Santiago, Zac.",53.12
-103.636389,23.638889,ZAC,SOMZC,"Observatorio de Sombrerete, Zac.",25.2
-103.493333,22.333056,ZAC,STEZC,"Independencia Nacional, Zac.",46.2
-103.112778,22.925833,ZAC,STRZC,"Santa Rosa, Zac.",49.6
-102.859167,22.120833,ZAC,TAYZC,"Ing. Julián Adame Alatorre, Zac.",61.11
-103.88,23.471944,ZAC,TCHZC,"Chalchihuites, Zac.",64
-103.461944,21.468611,ZAC,TGOZC,"Teúl de González Ortega, Zac.",94.74
-103.309444,21.773611,ZAC,TLLZC,"Tlaltenango, Zac.",65.43
-101.917222,22.520556,ZAC,VGOZC,"Villa González Ortega, Zac.",52.52
-101.715833,22.347222,ZAC,VHGZC,"Villa Hidalgo, Zac.",49.3
-103.337778,21.604722,ZAC,VILZC,"José María Morelos, Zac.",29.01
-102.506111,22.746667,ZAC,ZA2ZC,"Zacatecas, Zac. SMN*",61.57
-102.566389,22.778333,ZAC,ZACATECASob,"Observatorio de Zacatecas, Zac. SMN*",39.2
-102.585556,22.765,ZAC,ZACZC,"Zacatecas, Zac.",48.02
