LON,LAT,EDO,CLAVE,ESTACION,nov-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",27.7
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",63.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",55.4
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",29.83
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",35.8
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",26.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",26.4
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",46.8
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",41.7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",18.9
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",34.4
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",24.9
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",66.8
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",26.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",51
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",25.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",26
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",48.3
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",28.6
-102.294444,22.054167,AGS,SANTALUCIA,"Santa Lucía, Ags. INIFAP*",21.6
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",30.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",31
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",53.7
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",75.7
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",8.8
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",38.17
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",109.5
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",184.9
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",65
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",106.4
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",29.3
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",106.4
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",121.4
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",31.25
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",18.1
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",68.8
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",44.01
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",77.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",106.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",140.3
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",69.5
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",125.8
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",96.9
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",177
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",30.83
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",201.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",114.12
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",126.3
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",60.6
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",153.02
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",239.7
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",148.41
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",23.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",136.02
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",217
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",196.03
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",156
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",140.3
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",7.41
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",223.03
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",29
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",48.52
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",226.33
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",70.01
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",40.01
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",93.71
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",43.72
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",98.46
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",53
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",13.4
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",150
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",248.51
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",163.03
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",44.2
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",70.7
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-108.036389,31.096667,CHIH,ASCENCION,"Ascensión, Chih. INIFAP*",95.2
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",34.8
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",201
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",188.8
-108.271389,31.114722,CHIH,BUENAVISTACH,"Buena Vista, Chih. INIFAP*",126
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",128.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",88.5
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",66.85
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",50
