LON,LAT,EDO,CLAVE,ESTACION,ago-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",171.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",171
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",112.4
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",114.86
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",156.3
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",127
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",153.9
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",160.7
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",40.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",108.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",226.03
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",155.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",121.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",146
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",113.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",90.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",161
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",151.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",107.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",66
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",105
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",80.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0.6
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0.25
