LON,LAT,EDO,CLAVE,ESTACION,sep-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",194
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",260.2
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",123.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",184.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",185.51
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",187
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",172.9
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",169.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",213.3
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",143.9
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",200
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",254.73
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",153.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",151.3
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",189.4
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",189.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",148
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",140.7
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",242.2
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",137.1
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",205.3
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",132
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",137.7
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",25.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",8.09
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",3.5
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0.01
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",4.6
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",5.6
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.61
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",2.6
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",3.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",17.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",106.3
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",10.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",107
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",126.7
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",29
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",122
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",230.92
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",253.23
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",136.02
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",127
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",114
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",249.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",61.81
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",157.11
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",286
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",263.4
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",192.3
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",193.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",286
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",263.4
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",203.7
