LON,LAT,EDO,CLAVE,ESTACION,jul-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",195.7
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",218.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",181.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",232.69
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",252.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",162.2
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",219.3
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",139.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",151.4
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",188.1
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",249.21
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",187.1
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",91.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",204.55
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",152
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",107.5
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",207
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",154.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",170.4
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",196
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",96.7
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",7.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",1.1
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",1.1
