LON,LAT,EDO,CLAVE,ESTACION,ago-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",115.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",143
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",113.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",137.26
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",220
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",102.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",99.5
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",161.1
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",35.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",104.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",177.14
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",70.7
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",108.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",80.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",169
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",78.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",78.3
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",136.4
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",45.2
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",100
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",102.1
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",21.51
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.01
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0.5
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.5
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0.5
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0.5
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",7
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",13.84
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",6.82
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",4.6
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.6
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",48.3
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",110.52
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",20.52
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",45.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",43.8
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",10.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",48.81
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",42.92
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",194.41
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",22.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",86.01
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",67
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",186
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",79.92
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",60.03
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",191
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",161.8
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",116
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",182.5
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",240.4
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",161.8
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",193.7
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",170.6
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",153
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",118.7
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",145.4
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",72
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",237
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",98.8
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",240.4
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",137.51
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",23.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",57.25
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",210.1
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",57.1
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",155
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",126
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",98
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",85.5
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",101.25
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",211
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",35.52
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",94.75
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",45.2
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",116.05
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",40
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",137
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",242.72
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",46
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",118.92
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",44.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",59.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",147.11
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",117.81
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",86
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",23.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",156.01
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",85
